"FAC.","FACILITY NAME","ACTIVITY TYPE","ACTIVITY DATE","S or U","STAFF INITIALS","NOTES","SERVIC_KEY","FAC KEY","FACILITY TYPE","DAYCARE RED VIOLATIONS","REINSPECTION DUE","s_GUID","s_ColLineage","s_Generation","s_Lineage"
"27-7968","NICHOLS MOBILE HOME PARK","1ST REINSPECTION",2015-12-15 0:00:00,"S","JG",,1920091036,,"MOBILE HOME PARK",0,,"{3A80962F-A302-4676-8415-55E377D84B47}",,1655,
"27DCC272","DAYSTAR FOR MEDICALLY FRAGILE CHILDREN","2ND ANNUAL INSPECTION",2015-12-16 0:00:00,"U","ES",,1450282138,,"DAY CARE CENTER",1,,"{B17A9C42-9D87-4A63-8484-6C01A33132E5}",,1655,
"27DCC163","WESTSIDE FAMLY YMCA DAYCARE","1ST REINSPECTION",2015-12-16 0:00:00,"U","ES",,1450298956,,"DAY CARE CENTER",0,2016-01-13 0:00:00,"{D65E9AE2-4545-4DF9-9282-6AB7C2B8A09A}",,1655,
"27dcc194","NORTH PONDS KINDER CARE","2ND ANNUAL INSPECTION",2015-12-17 0:00:00,"S","LH",,1450375184,,"DAY CARE CENTER",0,,"{258C65B6-0ED4-4EA0-A5DE-1A11A1F638F6}",,1679,
"27-8693","TANNING OASIS","PRE-OP INSPECTION",2015-12-18 0:00:00,"S","ES",,1450467833,,"TANNING FACILITY",0,,"{60805F29-20D3-48C7-AB34-F2942CFE9153}",,1655,
"27DCC278","THE COMMUNITY PLACE OF GREATER ROCHESTER","ANNUAL INSPECTION",2015-12-18 0:00:00,"U","ES",,599453382,,"DAY CARE CENTER",1,2016-01-13 0:00:00,"{092BDFE4-F92E-4771-A30A-6B4925D40823}",,1655,
"27DCC239","AFTERSCHOOL IN THE PARK","ANNUAL INSPECTION",2015-12-17 0:00:00,"U","ES",,-1914577713,,"DAY CARE CENTER",0,2016-01-13 0:00:00,"{D543168A-FF68-4D05-8258-9E6A190CC34C}",,1665,
"27DCC298","CREATIVE BEGINNINGS CHILDCARE","2ND REINSPECTION",2015-12-17 0:00:00,"S","ES",,1171638884,,"DAY CARE CENTER",0,,"{9C48312B-68BE-4B3A-8D2F-F2F164018C40}",,1655,
"27DCC42","CREATIVE KIDS CHILDCARE","1ST REINSPECTION",2015-12-17 0:00:00,"S","ES",,-9802859,,"DAY CARE CENTER",0,,"{D2B7A089-CC1C-412A-A1AC-4AFE8B170782}",,1673,
"27-0088","ZAMIARA'S MOBILE HOME PARK","2ND REINSPECTION",2015-12-24 0:00:00,"S","JG",,1451320026,,"MOBILE HOME PARK",0,,"{2A072E15-C374-407F-B886-55AC6DC595A9}",,1665,
"27dcc238","INSPIRE LEARNING & CHILD CARE","ANNUAL INSPECTION",2018-01-22 0:00:00,"U","jg",,1516713423,,"DAY CARE CENTER",0,,"{EDCEC4D3-66A6-4F3C-A5E0-17F604E1DADB}",,0,
"27-8818","CUTS UNLIMITED II","ANNUAL INSPECTION",2018-01-22 0:00:00,"U","jg",,1195143012,,"TANNING FACILITY",0,,"{5ABF8D8C-5A63-4517-BC70-7796F329B6F5}",,0,
"27-8693","TANNING OASIS","ANNUAL INSPECTION",2018-01-22 0:00:00,"U","jg",,-1229755243,,"TANNING FACILITY",0,,"{24BCBB66-EA4D-4782-AC21-F6979F0BEF67}",,0,
"27dcc281","DOODLE BUGS CHILD CARE CENTER","ANNUAL INSPECTION",2018-01-23 0:00:00,"S","jg",,1516799890,,"DAY CARE CENTER",0,,"{984AD85A-5B1E-47E6-B89E-7B36AC807D5C}",,0,
"27dcc95","MENDON CHILD CARE","ANNUAL INSPECTION",2018-01-23 0:00:00,"S","EC",,1516818824,,"DAY CARE CENTER",0,,"{62B8B436-27DF-4FDB-BD40-5BD32E498CF8}",,0,
"27dcc209","HEADSTART/HART ST.","ANNUAL INSPECTION",2018-01-24 0:00:00,"S","EC",,-894630679,,"DAY CARE CENTER",0,,"{395AC883-7BF0-415D-A9E1-EFE658F78534}",,0,
"27dcc144","STORYBOOK #1/TOBEY ROAD","ANNUAL INSPECTION",2018-01-24 0:00:00,"U","jg",,1516821658,,"DAY CARE CENTER",0,,"{D2D33A89-5548-47CE-A17A-907713D5F98D}",,0,
"27dcc146","STORYBOOK/PINNACLE RD.","ANNUAL INSPECTION",2018-01-24 0:00:00,"U","jg",,-1088347373,,"DAY CARE CENTER",0,,"{9FD25D32-5ECD-40CB-AEA9-8BBABB83221B}",,0,
"27dcc61","HEADSTART CHILD DEV. CENTER","ANNUAL INSPECTION",2018-01-25 0:00:00,"S","EC",,1516902981,,"DAY CARE CENTER",0,,"{02BAB4A4-CF2F-4101-896C-F04C39D59B72}",,0,
"27-7626","MAXIMUM TAN/LATTA","ANNUAL INSPECTION",2018-01-24 0:00:00,"S","jg",,1516912388,,"TANNING FACILITY",0,,"{C7776FAE-4952-4A44-ADEA-8D00F6820A78}",,0,
"27dcc272","DAYSTAR FOR MEDICALLY FRAGILE CHILDREN","ANNUAL INSPECTION",2018-01-30 0:00:00,"S","jg",,1517336202,,"DAY CARE CENTER",0,,"{A60B460F-88FA-4808-856F-2DDA7F640710}",,0,
"27dcc94","RICHARD M. GUON CCC @ MCC","ANNUAL INSPECTION",2018-01-30 0:00:00,"S","jg",,-1706028477,,"DAY CARE CENTER",0,,"{353DB0FB-D751-455A-8F9B-5F7DD2E7D974}",,0,
"27dcc217","PEA PODS CHILD CARE","ANNUAL INSPECTION",2018-01-29 0:00:00,"S","EC",,1517409785,,"DAY CARE CENTER",0,,"{4F05165E-878E-4E39-9E0A-9A7FBAE8CDD7}",,0,
"27dcc292","KREATIVE KIDS ZONE CHILD CARE CENTER Site #2","ANNUAL INSPECTION",2018-01-31 0:00:00,"S","EC",,1517416992,,"DAY CARE CENTER",0,,"{C477E438-EB8E-4E16-A047-1CC8672D9A8B}",,0,
"27dcc296","RISING STARS CHILDCARE CENTER","ANNUAL INSPECTION",2018-01-31 0:00:00,"S","jg",,1517434950,,"DAY CARE CENTER",0,,"{A695EA83-8066-4EE6-8F86-8EDE732F8FD7}",,0,
"27-8768","ZOOM TAN - W. RIDGE","ANNUAL INSPECTION",2018-01-31 0:00:00,"S","jg",,-1205680049,,"TANNING FACILITY",0,,"{D8AA3FD8-3686-4FA5-B3C8-0357041877CF}",,0,
"27dcc6","ASBURY DAY CARE","ANNUAL INSPECTION",2018-02-01 0:00:00,"S","EC",,1517504294,,"DAY CARE CENTER",0,,"{455E0B2C-C355-4BB9-B8C9-211A1FF8CE1F}",,0,
"27-8224","ZOOM TAN - GREECE LONG POND","ANNUAL INSPECTION",2018-02-01 0:00:00,"U","JG",,1517522214,,"TANNING FACILITY",0,,"{8499B214-38DD-437A-9A7B-8829A406C238}",,0,
"27-8717","ZOOM TAN - CHILI","ANNUAL INSPECTION",2018-01-26 0:00:00,"S","jg",,1517840775,,"TANNING FACILITY",0,,"{A86B4644-0B37-4355-98FA-49721C021B45}",,0,
"27dcc256","EXPRESSIVE BEGINNINGS","ANNUAL INSPECTION",2018-02-05 0:00:00,"S","EC",,1517853454,,"DAY CARE CENTER",0,,"{B8CD4C1E-0F18-4342-818E-394FD81BC3A3}",,0,
"27-5743","YMCA CAMP BAY VIEW","OPERATIONAL INSPECTION",2017-07-26 0:00:00,"S","ES",,1501160902,,"CHILDREN'S DAY CAMP",0,,"{32C2EE52-CA71-4E0D-B028-ED086AC9128A}",,0,
"27dcc292","KREATIVE KIDS ZONE CHILD CARE CENTER Site #2","ANNUAL INSPECTION",2017-08-04 0:00:00,"U","ec/jg",,1501869328,,"DAY CARE CENTER",0,,"{777A5A40-BD85-41AC-B089-AA34EA63BA49}",,0,
"27-8907","TENNIS CLUB OF ROCHESTER","OPERATIONAL INSPECTION",2017-08-07 0:00:00,"U","ES",,1502136582,,"CHILDREN'S DAY CAMP",0,,"{C622E094-CA0A-4EC5-A4A8-07A3C2CFEC86}",,0,
"27-6358","NORTHERN HEMISPHERE'S - ADVENTURE CAMP","OPERATIONAL INSPECTION",2017-08-07 0:00:00,"S","ES",,1160165903,,"CHILDREN'S DAY CAMP",0,,"{687B4D7F-EA89-468F-B117-402DF8AED28F}",,0,
"27dcc95","MENDON CHILD CARE","ANNUAL INSPECTION",2017-08-07 0:00:00,"U","EC",,1502195093,,"DAY CARE CENTER",1,,"{F1A956DD-38D3-42AC-B174-BE24D77B9F76}",,0,
"27dcc122","PROMISE LAND CHILD CARE","ANNUAL INSPECTION",2017-08-07 0:00:00,"S","EC",,-1419288270,,"DAY CARE CENTER",0,,"{238613A0-607C-4DC7-AEB6-6B280209EEDB}",,0,
"27dcc314","EXPRESSIVE BEGINNINGS - STONE RD","ANNUAL INSPECTION",2017-08-08 0:00:00,"S","jg",,1502282392,,"DAY CARE CENTER",0,,"{16ECA514-7111-4AD6-A4E0-02D6141038FC}",,0,
"27dcc68","JACK N' JILL/LONG POND","ANNUAL INSPECTION",2017-08-08 0:00:00,"S","jg",,1338246329,,"DAY CARE CENTER",0,,"{75201258-AF04-4819-AA2B-FA565762FDB5}",,0,
"27-0292","JEWISH COMMUNITY CENTER - CAMP SISOL","1ST REINSPECTION",2017-08-09 0:00:00,"S","ES",,1502304443,,"CHILDREN'S DAY CAMP",0,,"{A27F8C2F-CDD1-4C24-B14A-210A4CF40E89}",,0,
"27dcc22","CHILD TIME/DORSEY","ANNUAL INSPECTION",2017-08-09 0:00:00,"U","jg",,1502367976,,"DAY CARE CENTER",0,,"{1A212DF3-272F-426F-951E-FA1B9AF4B2AB}",,0,
"27dcc153","TOT-AL CARE/PERINTON","ANNUAL INSPECTION",2017-08-10 0:00:00,"S","EC",,1502390252,,"DAY CARE CENTER",0,,"{0A43DF40-D59A-4FF2-9A80-4A5C01066FC9}",,0,
"27dcc32","KINDER CARE - FAIRPORT","ANNUAL INSPECTION",2017-08-10 0:00:00,"U","EC",,2073529469,,"DAY CARE CENTER",1,,"{229E403D-CFAB-4E12-BB87-50059AD3D427}",,0,
"27dcc215","DOODLE BUGS CHILD CARE CENTER/FAIRPORT","ANNUAL INSPECTION",2017-08-14 0:00:00,"S","EC",,1502807266,,"DAY CARE CENTER",0,,"{9272F3F3-8E3E-4B82-9E7D-FE3494E8C30B}",,0,
"27dcc6","ASBURY DAY CARE","ANNUAL INSPECTION",2017-08-16 0:00:00,"S","EC",,1502979141,,"DAY CARE CENTER",0,,"{845E1F96-2412-450A-932C-D456D15F0A3B}",,0,
"27dcc35","COMMUNITY ARTS ACADEMY","ANNUAL INSPECTION",2017-08-17 0:00:00,"S","EC",,1503404755,,"DAY CARE CENTER",0,,"{6EAF8B91-AC4C-4395-96DE-A67C4151734B}",,0,
"27dcc23","CHILD TIME/GARNSEY","ANNUAL INSPECTION",2017-08-21 0:00:00,"U","EC",,-579096296,,"DAY CARE CENTER",1,,"{A0C353EB-D0BB-4091-8997-26AF0AF0FC5C}",,0,
"27dcc132","SCHOOLHOUSE OF BROCKPORT","ANNUAL INSPECTION",2017-08-21 0:00:00,"S","jg",,1503406005,,"DAY CARE CENTER",0,,"{378803B4-24DC-4EC7-A968-7E2315D0075D}",,0,
"27dcc207","PRIDE AND JOY DAY CARE","ANNUAL INSPECTION",2017-08-23 0:00:00,"S","EC",,1503508889,,"DAY CARE CENTER",0,,"{77796C74-279E-4A46-805A-ECBA1A2B1482}",,0,
"27dcc256","EXPRESSIVE BEGINNINGS","ANNUAL INSPECTION",2017-08-23 0:00:00,"S","EC",,-1632037402,,"DAY CARE CENTER",0,,"{CB8D5DF2-1BC3-42C9-B2C9-ABCD9857619F}",,0,
"27dcc245","LIVING WATERS CHILD CARE 2","ANNUAL INSPECTION",2017-08-24 0:00:00,"S","EC",,1503592922,,"DAY CARE CENTER",0,,"{142BE013-6FC2-42DD-9113-0FF0FAE8C1DE}",,0,
"27dcc320","GENERATIONS - BAIRD RD","PRE-OP INSPECTION",2017-08-25 0:00:00,"S","jg",,1503690317,,"DAY CARE CENTER",0,,"{2A8FF897-C354-495E-B602-ACE853FCE987}",,0,
"27dcc27","CHILD TIME/N. CHILI","ANNUAL INSPECTION",2017-08-25 0:00:00,"S","jg",,-990944886,,"DAY CARE CENTER",0,,"{9CD4896A-A0DF-49A3-AE22-725295DA8E80}",,0,
"27dcc94","RICHARD M. GUON CCC @ MCC","ANNUAL INSPECTION",2017-08-28 0:00:00,"U","jg",,1503948329,,"DAY CARE CENTER",0,,"{86CF7178-9BFA-4871-8575-EB09586FD01E}",,0,
"27dcc213","KREATIVE KIDS ZONE","ANNUAL INSPECTION",2017-08-29 0:00:00,"S","EC",,1504024560,,"DAY CARE CENTER",0,,"{6989AF02-0932-4017-BEBE-395F205840D9}",,0,
"27dcc295","KREATIVE KIDS ZONE CHILDCARE #3","ANNUAL INSPECTION",2017-08-29 0:00:00,"S","EC",,-727886543,,"DAY CARE CENTER",0,,"{7FEF222D-B3EF-4D34-B383-75A43FEC09C1}",,0,
"27dcc292","KREATIVE KIDS ZONE CHILD CARE CENTER Site #2","2ND REINSPECTION",2017-08-29 0:00:00,"S","EC",,-781058146,,"DAY CARE CENTER",0,,"{4A2837B4-6718-42F3-854B-04E181CE8579}",,0,
"27-8933","CUTS UNLIMITED","1ST REINSPECTION",2017-08-30 0:00:00,"S","jg",,1504125361,,"TANNING FACILITY",0,,"{93F016A9-F83B-4CA9-ACF2-C525FCCA8A42}",,0,
"27dcc319","NEW BEGINNINGS ACADEMY","ANNUAL INSPECTION",2017-08-30 0:00:00,"U","jg",,1504127215,,"DAY CARE CENTER",0,,"{D4E2225A-4F9C-407D-88E1-88F6EA39BD34}",,0,
"27dcc221","PEA PODS II CHILD CARE CENTER","ANNUAL INSPECTION",2017-08-30 0:00:00,"U","EC",,1504271487,,"DAY CARE CENTER",1,,"{922C5542-566D-4E03-9429-410F21ED0D26}",,0,
"27dcc28","CHILD TIME/PENFIELD","ANNUAL INSPECTION",2017-08-22 0:00:00,"S","EC",,-794862508,,"DAY CARE CENTER",0,,"{9E4EC37C-546C-4BDC-A010-1E0ACF6D9E40}",,0,
"27dcc249","Sunshine Village Day Care","ANNUAL INSPECTION",2017-08-31 0:00:00,"S","EC",,1240904389,,"DAY CARE CENTER",0,,"{B3A5DB8F-4A5D-488B-8E88-02950663418F}",,0,
"27dcc23","CHILD TIME/GARNSEY","2ND REINSPECTION",2017-09-05 0:00:00,"S","EC",,1504700553,,"DAY CARE CENTER",0,,"{9EE88726-9DE2-41A7-B1EB-5C778C5B6CA7}",,0,
"27dcc263","YMCA CHILDCARE CENTER @ FAIRPORT BAPTIST","ANNUAL INSPECTION",2017-09-01 0:00:00,"S","EC",,68613654,,"DAY CARE CENTER",0,,"{F439CDD9-C34A-4F4B-88C7-8EDC8D7980D9}",,0,
"27dcc79","PARTNERS IN COMMUNITY DEVELOPMENT/FAIRPORT","ANNUAL INSPECTION",2017-08-22 0:00:00,"S","EC",,1504701576,,"DAY CARE CENTER",0,,"{AB69782E-CECD-43E0-9BCB-3607FF0D0CA8}",,0,
"27dcc87","LITTLE HEARTS DCC","ANNUAL INSPECTION",2017-09-07 0:00:00,"S","jg",,1504815610,,"DAY CARE CENTER",0,,"{6CFD6280-83DD-48C3-A95C-AFD3F4ADB538}",,0,
"27dcc214","GENERATIONS/CHILI AVE.","ANNUAL INSPECTION",2017-09-07 0:00:00,"S","jg",,2138143987,,"DAY CARE CENTER",0,,"{1583DAA8-E00E-4831-A0B4-8DB5279876B3}",,0,
"27dcc87","LITTLE HEARTS DCC","COMPLAINT",2017-09-07 0:00:00,"S","jg",,1504878695,,"DAY CARE CENTER",0,,"{E07A4A6D-91BB-4650-8100-6BD30ED67303}",,0,
"27dcc266","IMAGINATION CHILD CARE ACADEMY INC.","ANNUAL INSPECTION",2017-09-11 0:00:00,"S","jg",,1505222954,,"DAY CARE CENTER",0,,"{2C90982B-0804-4AE6-9460-1465F494A1A0}",,0,
"27dcc75","INSPIRE LEARNING & CHILDCARE- BUFFALO RD.","ANNUAL INSPECTION",2017-09-11 0:00:00,"S","jg",,-232894365,,"DAY CARE CENTER",0,,"{9B968E55-9EC7-4825-914D-20C4BF35B871}",,0,
"27dcc320","GENERATIONS - BAIRD RD","ANNUAL INSPECTION",2017-09-12 0:00:00,"U","jg",,1505239106,,"DAY CARE CENTER",0,,"{CC13AFD8-2E41-4451-AED6-7850CA5623F5}",,0,
"27-0330","CREATIVE THEMES DAY CAMP","PRE-OP INSPECTION",2017-05-31 0:00:00,"S","jg",,1496325018,,"CHILDREN'S DAY CAMP",0,,"{9F4B43F8-FF38-446C-8211-733902153D07}",,1709,
"27dcc36","COMMUNITY CHILD CARE","1ST REINSPECTION",2017-06-08 0:00:00,"U","jg",,1497012075,,"DAY CARE CENTER",0,,"{2FDF19A7-6A3F-436D-812D-31007B8654B2}",,0,
"27dcc50","FRIENDSHIP CHILDREN'S CENTER","ANNUAL INSPECTION",2017-06-08 0:00:00,"U","jg",,1461108688,,"DAY CARE CENTER",0,,"{A997B57E-5B42-4199-80AF-1269631704B5}",,0,
"27dcc285","CRAYON CAMPUS","ANNUAL INSPECTION",2017-06-13 0:00:00,"U","jg",,1497442036,,"DAY CARE CENTER",0,,"{984871FD-1E69-4463-868F-20485547E665}",,0,
"27-5863","BROWNCROFT DAY CAMP","PRE-OP INSPECTION",2017-06-14 0:00:00,"S","jg",,1497456719,,"CHILDREN'S DAY CAMP",0,,"{18F74CF7-0C8F-4942-9C7C-FFF806AD49FB}",,0,
"27-5040","TOWN OF IRONDEQUOIT EASTMAN -THEME GRADE 1-6","PRE-OP INSPECTION",2017-06-19 0:00:00,"U","jg",,1497968914,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{23A8EC1F-4BEF-41F7-90EF-7102BB466580}",,0,
"27-5065","TOWN OF IRONDEQUOIT - WOODCRAFT","PRE-OP INSPECTION",2017-06-19 0:00:00,"U","jg",,-562836437,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{68C9BF2C-B301-4A0F-9396-8847B21143BD}",,0,
"27-8729","TOWN OF IRONDEQUOIT PLAYGOUND - DURAND","PRE-OP INSPECTION",2017-06-19 0:00:00,"S","jg",,-1752595056,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{5C20A2A2-0010-4D27-82EC-D1979B8298E0}",,0,
"27-8729a","TOWN OF IRONDEQUOIT PLAYGROUND - COLEBROOK","PRE-OP INSPECTION",2017-06-19 0:00:00,"S","jg",,-986981807,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{59CBEEA3-8AAC-42A2-93D2-8434F5C842D6}",,0,
"27-8729b","TOWN OF IRONDEQUOIT PLAYGROUND - ROGERS","PRE-OP INSPECTION",2017-06-19 0:00:00,"S","jg",,-837147074,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{450F2A81-6991-4E9B-843C-CFF2C5814279}",,0,
"27-8729c","TOWN OF IRONDEQUOIT  PLAYGROUND - LAURELTON PARDEE","PRE-OP INSPECTION",2017-06-19 0:00:00,"S","jg",,-1837863705,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{4B3D8D6E-F660-46C3-90D1-F573A5601DA5}",,0,
"27dcc319","NEW BEGINNINGS ACADEMY","PRE-OP INSPECTION",2017-06-16 0:00:00,"U","jg",,1498150568,,"DAY CARE CENTER",0,,"{48FAA543-B98E-40C6-856E-B4584C7BBBD3}",,0,
"27-dcc319",,"1ST REINSPECTION",2017-06-30 0:00:00,"S","jg",,1498852134,,,0,,"{8C49A046-B42B-40AB-8753-AEAA4C7C0DBC}",,0,
"27dcc307","SUNSHINE VILLAGE CHILDCARE","ANNUAL INSPECTION",2017-06-30 0:00:00,"U","jg",,494942639,,"DAY CARE CENTER",0,,"{5420D511-C785-462B-AFA9-2EA72E5FF4DA}",,0,
"27dcc319","NEW BEGINNINGS ACADEMY","1ST REINSPECTION",2017-06-30 0:00:00,"S","jg",,-1541579324,,"DAY CARE CENTER",0,,"{19A9C306-96F8-45F1-A62C-918097FAF89A}",,0,
"27dcc298","CREATIVE BEGINNINGS CHILDCARE","ANNUAL INSPECTION",2017-07-11 0:00:00,"S","jg",,1499866353,,"DAY CARE CENTER",0,,"{7AEF47F2-8F08-404C-8853-26F475DC5D95}",,0,
"27dcc217","PEA PODS CHILD CARE","ANNUAL INSPECTION",2017-07-19 0:00:00,"U","EC",,1500488641,,"DAY CARE CENTER",1,,"{98C8DFF1-3F08-4874-9FCD-97BB67E6C117}",,0,
"27dcc189","DOODLE BUGS CHILD CARE CENTER","ANNUAL INSPECTION",2017-07-19 0:00:00,"S","EC",,-251711762,,"DAY CARE CENTER",0,,"{9BB16BB7-A466-44CB-A659-794CAA5E4B70}",,0,
"27dcc115","PENFIELD PRESBYTERIAN DAY CARE","ANNUAL INSPECTION",2017-07-19 0:00:00,"S","EC",,914691031,,"DAY CARE CENTER",0,,"{572FF347-D333-4360-AD1F-06EB52F5F0C2}",,0,
"27dcc54","GENERATIONS/ST. JOHN'S","ANNUAL INSPECTION",2017-07-13 0:00:00,"S","EC",,1500489135,,"DAY CARE CENTER",0,,"{7DD45696-BD58-4A5B-92C2-9687B7742058}",,0,
"27dcc59","HEADSTART - HUDSON","ANNUAL INSPECTION",2017-09-27 0:00:00,"S","EC",,1666427140,,"DAY CARE CENTER",0,,"{9085274B-0D18-420D-9689-247BF4B58C56}",,0,
"27dcc15","BROCKPORT CHILD CARE CENTER","ANNUAL INSPECTION",2017-09-29 0:00:00,"U","jg",,1506714682,,"DAY CARE CENTER",0,,"{393D7B7F-C14A-4655-A400-0DBD2B4115B5}",,0,
"27dcc311","SUNSHINE VILLAGE DAY CARE LEE RD","ANNUAL INSPECTION",2017-09-28 0:00:00,"U","jg",,-580978125,,"DAY CARE CENTER",0,,"{CC5CA257-B7F1-45C2-BDF9-6A009E661BF2}",,0,
"27dcc315","BADEN ST @ CHARLES SETTLEMENT","ANNUAL INSPECTION",2017-09-29 0:00:00,"U","EC","Refrigerator not working. Maintenance was sent same day. Instructed to send invoice when fixed. EC",1506947469,,"DAY CARE CENTER",1,,"{176A47FF-8441-4F18-A98D-C3BA22A8D966}",,0,
"27dcc286","Hillside Children's Center-SW FRC","ANNUAL INSPECTION",2017-09-29 0:00:00,"S","EC",,79127498,,"DAY CARE CENTER",0,,"{8F3D2A12-6779-43E2-9075-7B81288560EA}",,0,
"27dcc96","METROCENTER YMCA DAY CARE CENTER","ANNUAL INSPECTION",2017-10-03 0:00:00,"S","jg",,1507120030,,"DAY CARE CENTER",0,,"{3B41039C-9880-472B-A90F-94214B7033A2}",,0,
"27dcc255","BROCKPORT CLARKSON LEARNING CENTER","ANNUAL INSPECTION",2017-10-05 0:00:00,"S","jg",,1507292902,,"DAY CARE CENTER",0,,"{EBD58631-42EA-4534-A42D-1D7E65E92991}",,0,
"27dcc104","OGDEN RECKERS","ANNUAL INSPECTION",2017-10-05 0:00:00,"S","jg",,456297071,,"DAY CARE CENTER",0,,"{5E6042D7-06D5-4CBE-9CF8-0BED71D4845F}",,0,
"27dcc287","Hillside Children's Center - Peter Castle FRC","ANNUAL INSPECTION",2017-10-11 0:00:00,"S","EC",,1507743552,,"DAY CARE CENTER",0,,"{EDB508BB-00DC-4B8B-BC46-0A6CB69D2B70}",,0,
"27dcc289","THE COMMUNITY PLACE OF ROCHESTER","ANNUAL INSPECTION",2017-10-11 0:00:00,"S","EC",,511235649,,"DAY CARE CENTER",0,,"{F1B26FD2-9F41-45B5-A205-A549DD3F9606}",,0,
"27dcc321","BEAUTIFUL BEGINNINGS CHILD CARE","PRE-OP INSPECTION",2017-10-10 0:00:00,"U","EC",,-719435263,,"DAY CARE CENTER",1,,"{229BCC0E-50B6-48FE-B22C-991308D9DACE}",,0,
"27dcc33","KINDER CARE LEARNING CENTER","ANNUAL INSPECTION",2017-09-05 0:00:00,"S","EC",,1508183799,,"DAY CARE CENTER",0,,"{9C0E91D8-71D9-471B-BC44-507E18E02687}",,0,
"27DCC315","BADEN ST @ CHARLES SETTLEMENT","2ND REINSPECTION",2017-10-13 0:00:00,"S","EC",,-1015706772,,"DAY CARE CENTER",0,,"{027407C1-F0D6-400A-A5DB-17E90728A25A}",,0,
"27dcc313","POLKA DOT PLACE","ANNUAL INSPECTION",2017-10-12 0:00:00,"S","EC",,1508184480,,"DAY CARE CENTER",0,,"{8D3B8DD6-6309-45CC-BE18-3DAC83F7BDD6}",,0,
"27dcc80","KIDS FIRST CHILD CARE-EMPIRE","ANNUAL INSPECTION",2017-10-17 0:00:00,"S","EC",,1508271931,,"DAY CARE CENTER",0,,"{303E68FF-AFE1-433F-8E0E-16885F23CF0B}",,0,
"27dcc66","JACK N' JILL/EMPIRE","ANNUAL INSPECTION",2017-10-17 0:00:00,"S","EC",,-1241569440,,"DAY CARE CENTER",0,,"{54CDF863-BB3B-4643-92EF-9CF9FFB36400}",,0,
"27dcc194","NORTH PONDS KINDER CARE","ANNUAL INSPECTION",2017-10-17 0:00:00,"S","EC",,859450337,,"DAY CARE CENTER",0,,"{482C2B77-BE63-4EFA-9783-8C48C7958D5A}",,0,
