"CHURCH NUMBER","CHURCH NAME","ADDRESS","CITY","ZIPCODE","ISSUE DATE","EXPIRATION DATE","s_ColLineage","s_Generation","s_GUID","s_Lineage"
189,"VICTORY BAPTIST CHURCH","32 WILDBRIAR RD.","ROCHESTER, NY",14623,2004-02-03 0:00:00,2006-02-03 0:00:00,,1,"{62318459-4B2D-44A4-BB6C-D094B165F1F5}",
190,"FIRST BIBLE BAPTIST CHURCH","1039 NORTH GREECE ROAD","ROCHESTER, NY",14626,2004-03-05 0:00:00,2006-03-05 0:00:00,,1,"{ABDCCA66-CA8F-448B-A13D-E650D9783CB2}",
191,"CHRIST THE GOOD SHEPHERD LUTHERAN CHURCH","1000 WINTON ROAD NORTH","ROCHESTER, NY",14609,2015-06-29 0:00:00,2017-06-29 0:00:00,,16651,"{1941123D-3712-48C5-816B-6A708EDA06B3}",
192,"ST. PAUL'S EVANGELICAL LUTHERAN CHURCH","28 LINCOLN AVE., P.O. BOX 363","PITTSFORD, NY",14534,2006-10-10 0:00:00,2008-10-10 0:00:00,,1,"{A2110314-3909-4D0C-B446-FFE1ADF2D07A}",
194,"CHRISTIAN COMMUNITY CHURCH, INC. (see # 222 also)","4352 LAKE AVE.","ROCHESTER,  NY",14612,2004-08-19 0:00:00,2006-08-19 0:00:00,,13839,"{7AE0F758-985D-4324-BB99-3FF250CE1A51}",
195,"SACRED HEART CATHEDRAL","296 FLOWER CITY PARK","ROCHESTER, NY",14615,2017-06-05 0:00:00,2019-06-05 0:00:00,,18068,"{5548F3AA-81B8-4B59-92D0-75D6A5C9E22E}",
196,"2DA OBRA de DEOS PENTECOSTAL","395 EMERSON ST.","ROCHESTER, NY",14613,2004-09-30 0:00:00,2006-09-30 0:00:00,,1,"{F63EEE96-4974-4C8C-9D8C-9346A3E3BBF4}",
197,"EMMANUEL MISSIONARY BAPTIST CHURCH","1772 CLIFFORD AVENUE","ROCHESTER, NY",14609,2012-07-23 0:00:00,2014-07-23 0:00:00,,1,"{EB0ED291-9198-4210-BD18-3590A1429572}",
198,"CHURCH OF THE ASSUMPTION","20 EAST AVE.","FAIRPORT, NY",14450,2012-12-06 0:00:00,2014-12-06 0:00:00,,1,"{F4A3CD0C-2C40-4297-8F92-8408595A0D9A}",
199,"AMAZING GRACE CHURCH OF OUR LORD JESUS CHRIST","972 HUDSON AVE.","ROCHESTER, NY",14621,2012-04-26 0:00:00,2014-04-26 0:00:00,,1,"{A3A3B4CF-C879-476C-B825-E05794247369}",
200,"CHURCH OF ST. LAWRENCE","1000 NORTH GREECE RD.","ROCHESTER, NY",14626,2005-04-26 0:00:00,2007-04-26 0:00:00,,1,"{DB9D9F4F-870F-422E-8085-69AE0AEFB083}",
201,"MARANATHA MISSIONARY BAPTIST CHURCH, INC.","630 PORTLAND AVE.","ROCHESTER, NY",14621,2005-05-19 0:00:00,2007-05-19 0:00:00,,1,"{517B37F0-6BEE-4F59-8CA4-6A89C7D2A02A}",
202,"FAITH UNITED METHODIST CHURCH (see church # 233)","174 PINNACLE RD.","ROCHESTER, NY",14623,2005-05-19 0:00:00,2007-05-19 0:00:00,,16760,"{D0A166F2-C93D-4FEA-B513-4E209E67B69E}",
203,"GREECE UNITED METHODIST CHURCH","1924 MAIDEN LANE","ROCHESTER, NY",14626,2017-01-23 0:00:00,2019-01-23 0:00:00,,17944,"{AA009437-3333-47D1-ABFC-4C1F355279CA}",
204,"EAST PENFIELD BAPTIST CHURCH","2635 PENFIELD RD.","FAIRPORT, NY",14450,2017-05-19 0:00:00,2019-05-19 0:00:00,,18068,"{F10A8FEE-EA38-459F-BCCF-88B4B882069D}",
205,"CHURCH OF THE REFORMATION","111 NORTH CHESTNUT ST.","ROCHESTER, NY",14604,2016-04-22 0:00:00,2018-04-22 0:00:00,,17642,"{069DA12E-EC1C-4A64-8616-0B4E9241D6D0}",
206,"UPPER ROOM FAMILY WORSHIP CENTER","831 JOSEPH AVE.","ROCHESTER, NY",14621,2012-07-25 0:00:00,2014-07-25 0:00:00,,1,"{5ABA932D-ABF2-40F6-9391-8C7D765BC610}",
208,"GROWING THE FAMILY OF FAITH MENDON PRESBYTERIAN CH","3886 RUSH-MENDON RD.","MENDON, NY",14596,2006-03-16 0:00:00,2008-03-16 0:00:00,,1,"{F41D8F32-831F-4411-B8B0-1EC553050FCA}",
209,"PARMA ABIDING LOVE MINISTRIES","1021 HILTON PARMA RD.","HILTON, NY",14468,2006-03-28 0:00:00,2008-03-28 0:00:00,,1,"{EE51A370-8CDA-4187-86AA-5FC75D749A5E}",
210,"TRINITY EPISCOPAL CHURCH","3450 RIDGE RD. WEST","ROCHESTER, NY",14626,2006-05-16 0:00:00,2008-05-16 0:00:00,,1,"{7BC8D2A3-69AD-496E-BE3C-1EC29692612E}",
211,"CHURCH OF THE RESURRECTION","63 MASON RD.","FAIRPORT, NY",14450,2016-11-29 0:00:00,2018-11-29 0:00:00,,17944,"{2129D8AC-9FA4-4098-BFA5-8FE250BD56AA}",
212,"GENESEE PARK BLVD SEVENTH DAY ADVENTIST CHURCH","391 GENESEE PARK BOULEVARD","ROCHESTER, NY",14619,2006-08-11 0:00:00,2008-08-11 0:00:00,,1,"{6516A90E-760A-4AFB-A64E-B7AF54CCE49D}",
213,"LAKE AVENUE MEMORIAL BAPTIST CHURCH","57 AMBROSE ST.","ROCHESTER, NY",14608,2006-08-16 0:00:00,2008-08-16 0:00:00,,1,"{5FF76FB6-ACA1-44C1-AC2C-9EAEFE0C9231}",
214,"MEMORIAL ORTHODOX PRESBYTERIAN CHURCH","650 MERCHANTS RD.","ROCHESTER, NY",14692,2006-09-12 0:00:00,2008-09-12 0:00:00,,1,"{88B108E2-5EB9-4051-A90C-3E475D415F2E}",
215,"FIRST PRESBYTERIAN CHURCH OF CHILI","3600 CHILI AVE.","ROCHESTER, NY",14624,2006-12-05 0:00:00,2008-12-05 0:00:00,,1,"{29662954-E0F9-4B5E-A12B-C89412759E7E}",
216,"CHRIST COMMUNITY CHURCH","36 COLEMAN CREEK RD.","BROCKPORT, NY",14420,2007-03-06 0:00:00,2009-03-06 0:00:00,,1,"{0B96BBDE-2DD3-45E3-9823-8BECED61F6F9}",
217,"CHURCH OF THE ASCENSION","2 RIVERSIDE STREET","ROCHESTER, NY",14613,2015-04-13 0:00:00,2017-04-13 0:00:00,,16177,"{2A32C9BC-FCEA-44E8-8ABE-7D97FE4F3C35}",
218,"THE CHURCH OF THE EPIPHANY","3285 BUFFALO RD.","ROCHESTER, NY",14624,2007-03-27 0:00:00,2009-03-27 0:00:00,,1,"{9E90CF8A-3C48-419B-883C-7CCE309006E1}",
219,"IMMANUEL BAPTIST CHURCH","815 PARK AVE.","ROCHESTER, NY",14607,2017-05-25 0:00:00,2019-05-25 0:00:00,,18068,"{6F71CC1E-331B-4C51-A8FF-3621AB033F6B}",
220,"MORTON FIRE HALL (LADIES AUXILIARY)","615 MORTON RD.","HAMLIN, NY",14464,2009-08-25 0:00:00,2011-08-25 0:00:00,,1,"{01B68C5C-EFF4-4BE8-A76E-B1363958C999}",
221,"ST. PAUL'S EPISCOPAL CHURCH","25 WESTMINSTER RD","ROCHESTER, NY",14607,2015-05-03 0:00:00,2017-05-03 0:00:00,,16253,"{B9936A47-0459-4668-B344-C4453FC73219}",
222,"CHRISTIAN COMMUNITY CHURCH (see # 194 also)","4352 LAKE AVE","ROCHESTER, NY",14612,2007-06-18 0:00:00,2009-06-18 0:00:00,,13839,"{B318A5AA-C9C9-4B5D-ABAF-CBA3861392A7}",
223,"ST MONICA CHURCH","34 MONICA ST","ROCHESTER, NY",14619,2017-05-15 0:00:00,2019-05-15 0:00:00,,18068,"{CD4B3081-1A80-47F9-86DD-142D88A43A5E}",
224,"IMMANUEL EVANGELICAL LUTHERAN CHURCH","131 WEST MAIN ST","WEBSTER, NY",14580,2007-09-28 0:00:00,2009-09-28 0:00:00,,1,"{3F879B0B-647D-4DBC-BB26-EA3E6B904061}",
225,"SENECA UNITED METHODIST CHURCH","121 SCOLFIELD ROAD","ROCHESTER, NY",14617,2015-11-23 0:00:00,2017-11-23 0:00:00,,17255,"{6717A0F1-5931-45C1-B118-3CD741B659D1}",
226,"KOINONIA FELLOWSHIP","500 MAIN STREET","EAST ROCHESTER, NY",14445,2013-12-20 0:00:00,2015-12-20 0:00:00,,10690,"{0BAFE895-4361-409D-9E34-58A2761327CE}",
227,"FIRST BAPTIST CHURCH OF BROCKPORT","124 MAIN STREET","BROCKPORT, NY",14420,2017-03-10 0:00:00,2019-03-10 0:00:00,,17944,"{ADA75ADD-752E-4868-9138-1727793C56EF}",
228,"THE EVANGELICAL LUTHERAN CHURCH OF THE REDEEMER","1549 DEWEY AVE.","ROCHESTER, NY",14615,2014-09-08 0:00:00,2016-09-08 0:00:00,,14243,"{A22FD898-BBB2-445E-BF79-D2E350A90E87}",
229,"TRINITY MISSIONARY BAPTIST CHURCH","770 GENESEE STREET","ROCHESTER,  NY",14611,2010-12-23 0:00:00,2012-12-23 0:00:00,,1,"{9FD11FBE-9461-4395-828B-2B488FDD05CD}",
230,"HILTON BAPTIST CHURCH","50 LAKE AVENUE","HILTON, NY",14468,2017-12-19 0:00:00,2019-12-19 0:00:00,,0,"{B30F8B01-164E-46FE-A886-45EEF4ED17A2}",
231,"U. of R. INTERFAITH CHAPEL (2 kitchens)","U. of R. CHAPEL P.O BOX 270501","ROCHESTER, NY",14627,2015-07-09 0:00:00,2017-07-09 0:00:00,,16717,"{57DBFD3A-E374-4649-B9DE-FF5C604BD922}",
232,"ST. JOHN THE EVANGELIST CHURCH","55 MARTHA STREET","SPENCERPORT",14559,2015-12-17 0:00:00,2017-12-17 0:00:00,,17456,"{0CAEA110-188C-46C0-98DD-3EF177A06D6A}",
233,"FAITH UNITED METHODIST CHURCH","174 PINNACLE ROAD","ROCHESTER, NY",14623,2015-07-22 0:00:00,2017-07-22 0:00:00,,16775,"{AAE7B370-5400-446B-8B44-761CE4B90375}",
234,"ST. PADRE PIO CHAPEL","1510 LYELL AVENUE","ROCHESTER, NY",14606,2009-07-13 0:00:00,2011-07-13 0:00:00,,1,"{32FB54AE-E840-495F-9C9A-BA7BD592EA25}",
235,"HENRIETTA UNITED CHURCH OF CHRIST","1400 LEHIGH STATION RD. PO BOX 430","HENRIETTA, NY",14467,2017-09-13 0:00:00,2019-09-13 0:00:00,,18068,"{ADDB27BD-B97E-498B-9B28-813E47EADF24}",
236,"GREECE BAPTIST CHURCH","1230 LONG POND RD.","ROCHESTER, NY",14626,2009-10-02 0:00:00,2011-10-02 0:00:00,,1,"{E9613A50-6A18-4BB5-A483-50C0AAFC0380}",
237,"OPEN DOOR BAPTIST CHURCH","350 CHILI SCOTTSVILLE RD.","CHURCHVILLE, NY",14428,2015-09-03 0:00:00,2017-09-03 0:00:00,,16957,"{FA07F990-B736-43C1-B775-CB80F3227C90}",
238,"ST. ANNE CHURCH","1600 MT. HOPE AVE.","ROCHESTER, NY",14620,2016-07-11 0:00:00,2018-07-11 0:00:00,,17727,"{206155F9-B108-4ABD-8947-5DC065AF5096}",
239,"LAKESHORE COMMUNITY CHURCH","3651 LATTA ROAD","ROCHESTER, NY",14612,2010-04-29 0:00:00,2012-04-29 0:00:00,,1,"{A284113A-17F4-4718-82F7-C90AAAD63905}",
241,"PARKMINSTER PRESBYTERIAN CHURCH","2710 CHILI AVE.","ROCHESTER, NY",14624,2010-05-27 0:00:00,2012-05-27 0:00:00,,1,"{8FD5B272-68EC-4D48-9573-84528F4AF97E}",
1,"FIRST BAPTIST CHURCH IN CHILI","3182 CHILI AVE.","ROCHESTER, NY",14624,,,,16610,"{73C146BA-7710-4D82-8EEA-AE59782D8112}",
242,"TRINITY ALLIANCE CHURCH","1275 SPENCERPORT RD.","ROCHESTER, NY",14606,2010-07-12 0:00:00,2012-07-12 0:00:00,,1,"{7E2954D9-5FE4-4C38-8232-DED2BED99022}",
243,"HOPE LUTHERAN CHURCH","1301 VINTAGE LANE","ROCHESTER, NY",14626,2010-07-26 0:00:00,2012-07-26 0:00:00,,1,"{15CE74AF-5455-4D1E-B1FF-582F0CFCDAFA}",
244,"MT. OLIVET BAPTIST CHURCH","141 ADAMS STREET","ROCHESTER, NY",14608,2012-09-12 0:00:00,2014-09-12 0:00:00,,1,"{D26F32EE-6081-4DE3-8A34-90B680C5098E}",
245,"PENTECOSTAL PILGRIM CHURCH OF GOD","63 DR. SAMUEL McCREE WAY","ROCHESTER, NY",14611,2016-01-22 0:00:00,2018-01-22 0:00:00,,17565,"{60F158E4-0A33-4B98-9F0C-96BBDAB3AA6E}",
246,"ST. MARY OF THE ASSUMPTION","99 MAIN ST. P.O. BOX 23","SCOTTSVILLE, NY",14546,2010-08-02 0:00:00,2012-08-02 0:00:00,,1,"{719BE9DB-5B64-4364-AA86-CAD09439CD53}",
247,"CHILI BIBLE BAPTIST CHURCH","4140 BUFFALO RD. P.O. BOX 26203","ROCHESTER, NY",14626,2012-08-30 0:00:00,2014-08-30 0:00:00,,1,"{DE17F4B1-DBC6-4FE0-819A-7568CA31822C}",
149,"CLIO LODGE #779, F. & A.M.","287 EAST AVE.","HILTON, NY",14468,2014-09-19 0:00:00,2016-09-19 0:00:00,,14326,"{30FBDC32-6AD5-4B20-834C-DCE6D2773B58}",
150,"ST. VINCENT de PAUL'S CHURCH","11 N. MAIN ST.","CHURCHVILLE, NY",14428,,,,1,"{32C6FD12-13C8-424B-B1C6-2231F974BB40}",
151,"ALL SAINTS EPISCOPAL CHURCH","759 WINONA BLVD.","ROCHESTER, NY",14617,2004-05-18 0:00:00,2006-05-18 0:00:00,,1,"{8C435778-88A9-481C-8D84-21A0C3CD7DAA}",
152,"FIRST BAPTIST CHURCH OF MUMFORD","DAKIN STREET","MUMFORD, NY",14511,,,,1,"{0A8E3E78-26F2-4806-893C-8C16CFC27408}",
153,"FIRST UNITED PRESBYTERIAN CHURCH OF MUMFORD","P.O. BOX 459","MUMFORD, NY",14511,2007-08-09 0:00:00,2009-08-09 0:00:00,,1,"{B67B0DDE-27EC-43A2-A6E0-B4E35FF40404}",
154,"NEW LIFE FELLOWSHIP","330 WELLINGTON AVE.","ROCHESTER, NY",14619,,,,1,"{B25EDB91-82E4-49E9-A1BB-82D6A14048E1}",
155,"FIRST BAPTIST CHURCH OF FAIRPORT","92 SOUTH MAIN STREET","FAIRPORT, NY",14450,2012-03-13 0:00:00,2014-03-13 0:00:00,,1,"{48AA557F-9DB6-4742-B326-DDA892E17794}",
156,"WEST SIDE BAPTIST CHURCH","3955 MT. READ BLVD.","ROCHESTER, NY",14616,,,,1,"{F45D0432-6C1B-4B66-A4EA-86E0E841172F}",
157,"MOUNT VERNON MISSIONARY BAPTIST CHURCH, INC.","351 JOSEPH AVENUE","ROCHESTER, NY",14605,2009-12-24 0:00:00,2011-12-24 0:00:00,,1,"{911C7209-1EEF-4D37-BDBA-2E36615AFDCA}",
158,"GREEK ORTHODOX CHURCH OF THE HOLY SPIRIT(see #177)","835 SOUTH AVENUE","ROCHESTER, NY",14620,,,,9938,"{E650D702-0251-4CBC-AA14-76DD9732D007}",
159,"UNITED CHURCH OF CHRIST CONGREGATIONAL (SEE #91)","570 KLEM ROAD","WEBSTER, NY",14580,,,,1,"{8F2A48CF-BE6B-4CEF-9BE6-A20B95BB097E}",
160,"VINEYARD CHRISTIAN CHURCH ROCHESTER","1 FAVOR ST.","ROCHESTER, NY",14608,2001-11-05 0:00:00,2003-11-05 0:00:00,,1,"{42534E6C-11C0-4338-82EF-02BEBA33CEE0}",
161,"ASSEMBLY OF CHRISTIAN CHURCHES, INC.","975 JOSEPH AVENUE","ROCHESTER, NY",14621,2016-07-27 0:00:00,2018-07-27 0:00:00,,17727,"{83660559-7ED9-49F0-8151-E712797D7680}",
162,"TABERNACLE OF FAITH INC.","199 BERLIN ST.","ROCHESTER, NY",14621,2001-07-01 0:00:00,2003-07-01 0:00:00,,1,"{81415E3B-04C7-4D62-B4A3-FB8F10CBC0B2}",
163,"GUARDIAN ANGELS CHURCH","2061 E. HENRIETTA RD.","ROCHESTER, NY",14623,2017-09-19 0:00:00,2019-09-19 0:00:00,,18068,"{80433318-FA17-431C-BFBE-655CF1216BF1}",
164,"ST. ELIZABETH ANN SETON CHURCH","3747 BRICK SCHOOLHOUSE RD.","HAMLIN, NY",14464,2017-12-11 0:00:00,2019-12-11 0:00:00,,0,"{45425925-8417-4336-B6BB-25A5784BBE9A}",
166,"GENESEE VALLEY UNITED METHODIST CHURCH","70 BAILEY ROAD","W. HENRIETTA, NY",14586,2002-09-19 0:00:00,2004-09-19 0:00:00,,1,"{F1D59A95-0F2B-4F53-B854-17E898DC8A92}",
167,"CALVARY CHAPEL OF FAIRPORT","355 HIGH ST. EXT.","FAIRPORT, NY",14450,,,,1,"{58278C59-D15E-4F27-8622-CC8264C50F28}",
168,"ST. STANISLAUS  CHURCH","34 ST. STANISLAUS ST.","ROCHESTER, NY",14621,2016-09-12 0:00:00,2018-09-12 0:00:00,,17746,"{4EB9F24C-6A95-46DC-913F-1532148225DC}",
169,"TRINITY EVANGELICAL LUTHERAN CHURCH","1008 MAIN STREET","EAST ROCHESTER, NY",14445,2003-04-09 0:00:00,2005-04-09 0:00:00,,1,"{4B20B6EE-9612-4F5B-AEE8-DAE928FE3BFA}",
170,"BROWNCROFT BAPTIST CHURCH","420 WINTON ROAD NORTH","ROCHESTER, NY",14610,2001-05-21 0:00:00,2003-05-21 0:00:00,,1,"{B6600096-9935-4F75-9793-D1EAC17A56EA}",
165,"(SEE FILE) CHURCH #20",,,0,,,,13670,"{FEA965DB-64FB-43F8-AFE2-13212F55BC91}",
207,"ST. PIUS TENTH CHURCH","3010 CHILI AVE.","ROCHESTER, NY",14624,2014-05-12 0:00:00,2016-05-12 0:00:00,,12704,"{99299B11-798A-4C49-A7BA-DDFBDE1D68B6}",
177,"GREEK ORTHODOX CHURCH OF THE HOLY SPIRIT","835 SOUTH AVE.","ROCHESTER, NY",14620,2016-08-11 0:00:00,2018-08-11 0:00:00,,17727,"{B1F09289-02DE-4347-8944-9EC5D7CC6747}",
193,"MT. SINAI INTERNATIONAL MINISTRIES","1713 LYELL AVE.","ROCHESTER, NY",14606,2015-06-16 0:00:00,2017-06-16 0:00:00,,16577,"{51888492-5056-4E22-A901-C0B8EDE3E0BD}",
260,"HILTON UNITED METHODIST CHURCH","21 WEST AVE.","HILTON, NY",14468,2016-06-20 0:00:00,2018-06-20 0:00:00,,17727,"{C3C5ADC9-9623-46D8-A976-100107685972}",
261,"ST. THEODORE'S CATHOLIC CHURCH","168 SPENCERPORT RD.","ROCHESTER, NY",14606,2016-12-27 0:00:00,2018-12-27 0:00:00,,17944,"{5C48F342-394A-48FC-86D4-07EE833D8696}",
262,"HOLY GHOST, ST. HELEN & ST. JUDE (GATES CATHOLIC)","4100 LYELL ROAD","ROCHESTER, NY",14606,2017-12-04 0:00:00,2019-12-04 0:00:00,,0,"{D7CE6888-BD95-456A-AE29-31A66531EE12}",
263,"EVANGELICAL CHURCH OF FAIRPORT","38 EAST CHURCH ST.","FAIRPORT, NY",14450,2015-03-09 0:00:00,2017-03-09 0:00:00,,15923,"{767A9400-A581-49AD-AC16-FB088FB5BE11}",
264,"CROSSROADS COMMUNITY CHURCH","1188 JACKSON RD.","WEBSTER, NY",14580,2013-04-01 0:00:00,2015-04-01 0:00:00,,1,"{C2549690-D62C-4062-A541-6BC3687A96AF}",
41,"MORTON FIRE COMPANY","P.O. BOX 446","MORTON, NY",14508,,,,1,"{CD362665-F85A-4FF4-947C-51811822FCCD}",
42,"PINNACLE LUTHERAN CHURCH","250 PINNACLE RD.","ROCHESTER, NY",14623,2017-11-17 0:00:00,2019-11-17 0:00:00,,0,"{BB8B14AF-E987-41E5-8DD0-31A8F28A6B9A}",
43,"DIABETES CONTROL FOUNDATION","215 SANDRINGHAM ROAD","ROCHESTER, NY",14610,,,,1,"{F01E50CF-BB75-47CC-A2E2-780E2EFB63D0}",
44,"IMMANUEL BAPTIST CHURCH (see church # 219)","815 PARK AVENUE","ROCHESTER, NY",14607,,,,16269,"{573F90CB-06B4-4A3B-8A9C-56290DB6CE20}",
45,"CHRIST TABERNACLE APOSTOLIC FAITH CHURCH, INC.","206 NORTON ST.","ROCHESTER, NY",14621,,,,1,"{1AB45BDC-FD89-429D-8B2B-EEB114CEE4B2}",
46,"CHURCH OF GOD IN CHRIST JESUS","143 WEST AVENUE","ROCHESTER, NY",14611,,,,1,"{752C9AD1-1D9C-4278-AA47-AC73858DF514}",
47,"SECOND BAPTIST CHURCH","957  GEORGE ST.","MUMFORD, NY",14511,2015-10-16 0:00:00,2017-10-16 0:00:00,,17119,"{CCA78E6A-E3ED-4C58-8B71-651E55537551}",
48,"CHURCHVILLE UNITED METHODIST CHURCH","24 W. BUFFALO ST.","CHURCHVILLE, NY",14428,2017-07-10 0:00:00,2019-07-10 0:00:00,,18068,"{6F18F15F-A7B6-4546-AD6A-EB72E09F611B}",
49,"FIRST CONGREGATIONAL CHURCH OF RIGA","7059 CHILI RIGA CTR. RD.","CHURCHVILLE, NY",14428,,,,1,"{6C2475D1-84CC-44D8-A00E-9E57F58496DF}",
50,"HAMLIN FIRE DEPT.  INC. (now on Waiver List)","1765 LAKE RD.","HAMLIN, NY",14464,,,,1,"{8680CE9A-0929-4ED3-883D-1C459C02707F}",
51,"OUR MOTHER OF SORROWS CHURCH","5000 MT. READ BLVD","ROCHESTER, NY",14612,2014-08-22 0:00:00,2016-08-22 0:00:00,,14137,"{4466BDCF-7FC0-46C3-BAE8-3A6B7E64EC6E}",
52,"ST. CECILIA'S CHURCH","2732 CULVER RD.","ROCHESTER, NY",14622,,,,1,"{5149D8E3-26C7-49F3-ABE2-D20457190C59}",
53,"PEACE OF CHRIST PARISH","25 EMPIRE BLVD.","ROCHESTER, NY",14609,2011-11-17 0:00:00,2013-11-17 0:00:00,,1,"{C1477AC3-868D-4618-863F-00461A8EC14C}",
54,"LILY OF THE VALLEY CHURCH OF GOD","247 TROUP ST.","ROCHESTER, NY",14608,,,,1,"{562B954A-92C0-4038-8F74-5100FD9E88F9}",
55,"HOLY TRINITY CHURCH","1460 RIDGE ROAD","WEBSTER, NY",14580,,,,1,"{4F9A72F2-D417-4337-B496-D5F8241E6531}",
56,"AQUARIAN SELF-DISCOVERY CENTER","1858 E. MAIN ST.","ROCHESTER, NY",14609,,,,1,"{06D5E2C2-6CED-4275-845C-732BD0A37CBA}",
57,"RUSH UNITED METHODIST CHURCH","6200 RUSH-LIMA RD.","RUSH, NY",14543,,,,1,"{9BD8B4CD-538E-43F6-A5F3-0157FC18B98F}",
