"FAC.","FACILITY_NAME","FACILITY_ADDRESS","CITY","FAC_ZIP","FAC_TYPE.","FAC_TYPE","ACTIVE","PHONE_NO","CITY_TOWN","OPERATOR_OWNER","OPERATOR_ADDRESS","OPERATOR_CITY","OPER_ZIP","EMAIL_1","EMAIL_2","EIN_SS.","CONTACT","OPER_PHONE","PERMIT FAC_TYPE","CAPACITY","SESSIONS","FEE","OPEN_DATE","CLOSE_DATE","APPL_DATE","WC/DB REC"D","PRESEASON","PRE_COMMENT","PERMIT","OPER_INSP","OPER_COMMENT","INSPR","OPER_REIN","OPER_REINCOMMENT","2ND_REIN","2ND_REINCOMMENT","PARTIAL_INSP","FEE PAID","DATE_PAID","HEARING_DATE","DOH-3965","DOH-367","DOH-2271","LDSS-3370","DSS ANS","MANUAL OK","MANUAL UPDATE","COMMENTS","Pre-Op Status","FIRST AID CERTIFICATIONS RECEIVED","LIFEGUARD/PSI CERTIFICATIONS","FOOD SERVICE","COUNSELOR TO CAMPER RATIO","EMAIL CONTACT","CAMP DIRECTOR","HEALTH DIRECTOR","AQUATICS DIRECTOR","CPR CERT","POOL OPERATOR","AQUATICS DIR REQUIRED","AQUATICS DIRECTOR CERTS","Reviewed By","APP SENT","OPERATION ID","AMUSEMENT DEVICES FORM","COVERED AMUSEMENT DEVICES","Gen_COMMENTS","s_GUID","Aen_COMMENTS","SAFETY PLAN DISABILITY ADN"
"27-5040","TOWN OF IRONDEQUOIT EASTMAN -THEME GRADE 1-6","1301 LAKESHORE BLVD.","ROCHESTER, NY  14617",14617.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","5853366070","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,1,"{9832E57D-1E1A-4F4F-A204-490FE10460B7}",1257,0
"27-5065","TOWN OF IRONDEQUOIT - WOODCRAFT","1300 TITUS AVENUE","ROCHESTER, NY  14617",14617.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","(585) 336-6070","CHILDREN'S MUNICIPAL DAY CAMP",50.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,1,"{7EA5430F-351A-4535-AE15-FD42C2EA95DE}",1257,0
"27-5089","CAMP OPEN ARMS","1769 SCRIBNER RD","PENFIELD, NY  14526",14526.00,16.00,"CHILDREN'S CAMP","Yes","585 - 249 - 6400","PENFIELD","CANCER ACTION, INC.","255 ALEXANDER STREET","ROCHESTER, N Y","14607",,,"122421239","MARY CASSELMAN-COLLAZO","5854239700","CHILDREN'S DAY CAMP",130.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Penfield CSD",0,"MCASSELMAN@GILDASCLUBROCHESTER.ORG",,,,0,"Penfield School District","No",0,"LH",,,0,0,1,"{AD1CE3BC-E2FD-4E39-B5CE-9A75B1AA4795}",1309,0
"27-5178","HARLEY SCHOOL DAY CAMP","1981 CLOVER STREET","ROCHESTER, NY  14618",14618.00,16.00,"CHILDREN'S CAMP","Yes","5854421770","BRIGHTON","THE HARLEY SCHOOL","1981 CLOVER STREET","ROCHESTER, N Y","14618",,,"160755783","TAMMY ROBERTS","5854421770","CHILDREN'S DAY CAMP",125.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"HARLEY SCHOOL",0,"TROBERTS@HARLEYSCHOOL.ORG",,,,0,,"No",0,"ES",,,0,0,1,"{048A4BCD-F805-4C13-97BB-5F67F88E7E54}",1117,0
"27-5267","PARKMINSTER - SUMMER'S BEST TWO WEEKS","2710 CHILI AVENUE","ROCHESTER, NY  14624",14624.00,16.00,"CHILDREN'S CAMP","Yes","585 - 247 - 2424","CHILI","PARKMINSTER PRESBYTERIAN CHURCH","2710 CHILI AVENUE","ROCHESTER, N Y","14624",,,"295841705","Dawn Stocks","5852472424","CHILDREN'S DAY CAMP",80.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"PARKMINSTERCHURCH@GMAIL.COM",,,,0,,"No",0,"ES",,,0,0,18,"{A48C61F9-8685-4EFF-932F-FC656C036DB3}",1295,0
"27-5293","MONROE COMMUNITY COLLEGE - SPORTS CAMP","1000 E. HENRIETTA ROAD","ROCHESTER, NY  14623",14623.00,16.00,"CHILDREN'S CAMP","Yes","5852922854","BRIGHTON","MONROE COMMUNITY COLLEGE","1000 E. HENRIETTA ROAD","ROCHESTER, N Y","14623",,,"690210413","ELIZABETH F. KELLY","5852922854","CHILDREN'S DAY CAMP",750.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"MCC/BYOL",0,"EKELLY@MONROECC.EDU",,,,0,"MCC","Yes",0,"WS",,,0,1,1,"{B2530A92-0964-4E8E-ADD9-454E16EAFEDE}",1117,0
"27-5495","YMCA CAMP THUNDERBIRD","GENESEE VALLEY PARK-ROUND HOUSE SHELTER","ROCHESTER, NY  14607",14607.00,16.00,"CHILDREN'S CAMP","Yes","5854749767","ROCHESTER","YMCA OF GREATER ROCHESTER","444 E. MAIN ST","ROCHESTER, N Y","14604",,,"160743242","BRADLEY RICKMAN","5852634282","CHILDREN'S DAY CAMP",200.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Foodlink",0,"bradley.rickman@RochesterYMCA.org",,,,0,"City of Rochester - Genesee Valley Pool","No",0,"LH",,,0,0,1,"{5824DCB7-16C8-4011-A597-3C75973F37C4}",1391,0
"27-5521","GAN ISRAEL DAY CAMP","2643 ELMWOOD AVE","ROCHESTER, NY  14618",14620.00,16.00,"CHILDREN'S CAMP","Yes","5852425100","BRIGHTON","CHABAD LUBAVICH OF ROCHESTER","191 FAIRFIELD DRIVE","ROCHESTER, N Y","14620",,,"112608573","DAVID MOCKIN","5852710330","CHILDREN'S DAY CAMP",140.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"DMOCHKIN@CGIROCHESTER.COM",,,,0,,"No",0,"WS",,,0,0,1,"{38C4E31F-D577-4287-839A-F7D49642AD75}",1291,0
"27-5659","TOWN OF OGDEN SUMMER CAMP - PINEWAY PONDS K-8","259 SPENCERPORT RD.","SPENCERPORT, NY  14559",14559.00,14.00,"CHILDREN'S CAMP","Yes","5856176174","OGDEN","TOWN OF OGDEN PARKS & RECREATION","269 OGDEN CENTER ROAD","SPENCERPORT, N Y","14559",,,"166002328","NICHOLAS BERLIN","5856176174","CHILDREN'S MUNICIPAL DAY CAMP",120.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"recsupervisor@ogdenny.com",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{35EF3490-6511-49C5-A603-B5DB7842ACEA}",1249,0
"27-5711","YMCA CAMP SENECA","31 EMPIRE BLVD","ROCHESTER, NY  14609",14613.00,16.00,"CHILDREN'S CAMP","Yes","585 - 647 - 3600","ROCHESTER","YMCA OF GREATER ROCHESTER","25 DRIVING PARK AVENUE","ROCHESTER, N Y","14613",,,"160743242","Sherry Clifford","5852771651","CHILDREN'S DAY CAMP",150.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Foodlink",0,"Sherryc@ROCHESTERYMCA.ORG",,,,0,"YMCA","No",0,"ES",,,0,0,1,"{69070535-3C1F-4E9D-AD9C-38F4C982C756}",1396,0
"27-5743","YMCA CAMP BAY VIEW","1209 BAY ROAD","WEBSTER, NY  14580",14580.00,16.00,"CHILDREN'S CAMP","Yes","5853413227","PENFIELD","BAY VIEW BRANCH OF YMCA","1209 BAY ROAD","WEBSTER, N Y","14580",,,"160743242","Diana Traugot","5853413227","CHILDREN'S DAY CAMP",460.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL, purchased from Wegmans",0,"diana.traugot@ROCHESTERYMCA.ORG",,,,0,"YMCA","No",0,"ES",,,0,1,182,"{9A96F202-0936-4352-AD03-6AB352ED173E}",1216,0
"27-5851","COMMUNITY LUTHERAN TRAVELING DAY CAMP","942 JOSEPH AVE.","ROCHESTER, NY  14621",14621.00,13.00,"CHILDREN'S CAMP","Yes","5852000609","ROCHESTER","COMMUNITY LUTHERAN MINISTRIES","942 JOSEPH AVENUE","ROCHESTER, N Y","14621",,,"161564929","CHILDREN'S CAMP DIRECTOR","5853382420","CHILDREN'S TRAVELING DAY CAMP",180.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Foodlink",0,"maggierny@gmail.com",,,,0,,"No",0,"WS",,,0,0,1,"{992C80D5-14CA-462F-ABEE-324EFC6E0D43}",1274,0
"27-5863","BROWNCROFT DAY CAMP","933 ATLANTIC AVENUE","ROCHESTER, NY  14609",14609.00,13.00,"CHILDREN'S CAMP","Yes","585 - 288 - 3271","ROCHESTER","BROWNCROFT TRAVELING DAY CAMP, LLC","933 ATLANTIC AVENUE","ROCHESTER, N Y","14609",,,"161558354","MICHAEL HOFMANN","5852883271","CHILDREN'S DAY CAMP",80.00,,$200.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"Mike@browncroftdaycare.com",,,,0,"RSD - East High Pool","No",0,"LH",,,0,0,1,"{33D6956F-1C3B-4E8B-88DE-0481962C51DB}",1391,0
"27-5988","U OF R FUN FITNESS CAMP","601 ELMWOOD AVE.","ROCHESTER, NY  14642",14642.00,16.00,"CHILDREN'S CAMP","Yes","5852752706","ROCHESTER","UNIVERSITY OF ROCHESTER","601 ELMWOOD AVE. - PO BOX 309","ROCHESTER, N Y","14642",,,"160743209","HEATHER VANORDEN","5857330140","CHILDREN'S DAY CAMP",45.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"HEATHER_VANORDEN@URMC.ROCHESTER.EDU",,,,0,"City of Rochester - Genesee Valley","No",0,"LH",,,0,0,102,"{4E730ACC-AB3E-425C-A4F2-18FB3F07309E}",1217,0
"27-6194","SUNY BROCKPORT CAMP ABILITIES","SUNY BROCKPORT CAMPUS","BROCKPORT, NY  14420",14420.00,7.00,"CHILDREN'S CAMP","Yes","5859432829","SWEDEN","The Research Foundation for SUNY Brockport","350 New Campus Drive","Brockport, NY","14420",,,"xxxxxxxxx","LAUREN LIEBERMAN","5859432829","CHILDREN'S PHYSICALLY HANDICAPPED OVERNIGHT CAMP",75.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,"1/31/2018 - Special mailing for appliction requested:
Tiffany Mitrakos
3 Farview Circle 
Camillus, NY 13031",,0,0,"Catered and dorm",0,"tmitr1@u.brockport.edu",,,,0,"SUNY Brockport","No",0,"WS",,,0,0,1,"{54AE7104-528B-49D3-8A84-A24BDE3814F9}",1187,0
"27-6206","THE RESEARCH FOUNDATION FOR SUNY BROCKPORT UPWARD BOUND","350 NEW CAMPUS DR","BROCKPORT, NY  14420",14420.00,7.00,"CHILDREN'S CAMP","Yes","5856385274","SWEDEN","The Research Foundation for Suny, College at Brockport","350 NEW CAMPUS DRIVE","BROCKPORT, N Y","14420",,,"xxxxxxxxx","KAREN RIOTTO/JOEL WOODROE","5856385274","CHILDREN'S OVERNIGHT CAMP",50.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"SUNY BROCKPORT",0,"lmerkl@brockport.edu/Jwoodroe@rochester.rr.com",,,,0,,"No",0,"WS",,,0,0,1,"{B90F25AD-1E73-4C88-AA13-F65D11CD0C08}",1315,0
"27-6283b","TOWN OF RIGA RECREATION CAMP","139 FAIRBANKS RD","CHURCHVILLE, NY  14428",14428.00,14.00,"CHILDREN'S CAMP","Yes","5854722017","RIGA","TOWN OF RIGA","6460 BUFFALO ROAD/P.O. BOX 377","CHURCHVILLE, NY","14428",,,"112509986","JESSICA HINCHEY","5852933880","CHILDREN'S MUNICIPAL DAY CAMP",45.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"J_Hinchey@aol.com",,,,0,"No Swimming","No",0,"WS",,,0,0,1,"{774D815D-D354-425E-8AF8-923AE1725918}",1376,0
"27-6319","ROBERTS WESLEYAN SPORTS CAMP","2301 WESTSIDE DR.","ROCHESTER, NY  14624",14624.00,16.00,"CHILDREN'S CAMP","Yes","5855946514","CHILI","ROBERTS WESLEYAN COLLEGE","2301 WESTSIDE DRIVE","ROCHESTER, N Y","14624",,,"160743126","SCOTT REBER","5855946778","CHILDREN'S DAY CAMP",50.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"College food service",0,"REBER_SCOTT@ROBERTS.EDU",,,,0,"No Swimming","Yes",0,"LH",,,0,0,102,"{33619000-0AA6-4EF8-BED3-E6547F558D32}",1274,0
"27-6358","NORTHERN HEMISPHERE'S - ADVENTURE CAMP","80 BARRETT DRIVE","WEBSTER, NY 14580",14580.00,16.00,"CHILDREN'S CAMP","Yes","585 - 265 - 4740","WEBSTER","NORTHERN HEMISPHERE GYMNASTICS, LLC","80 BARRETT DRIVE","WEBSTER, NY","14580",,,"161569712","PAUL LIBERA","5852654740","CHILDREN'S DAY CAMP",40.00,,$200.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"NHGYM@AOL.COM",,,,0,"No Swimming","No",0,"ES",,,0,0,1,"{5404C696-22DB-4A61-B38A-688E3258A48C}",1229,0
"27-6360","ROCK VENTURES SUMMER CAMP","1044 UNIVERSITY AVENUE","ROCHESTER, NY  14607",14607.00,16.00,"CHILDREN'S CAMP","Yes","585 - 442 - 5462","ROCHESTER","ROCK VENTURES","1044 UNIVERSITY AVENUE","ROCHESTER, NY","14607",,,"162473955","JULIE RIEDERER","5854425462","CHILDREN'S DAY CAMP",50.00,,$200.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL/Pizza Take Out",0,"ROCK@ROCKVENTURES.NET",,,,0,"No Swimming","No",0,"ES",,,0,1,102,"{9C8FEFDA-9E54-45E0-8BF5-790916884831}",1245,0
"27-6422","YMCA SOUTHEAST - GYMNASTICS CAMP","111 EAST JEFFERSON RD.","PITTSFORD, NY  14534",14534.00,16.00,"CHILDREN'S CAMP","Yes","5853413259","PITTSFORD","SOUTHEAST FAMILY YMCA","111 E. JEFFERSON ROAD","PITTSFORD, NY","14534",,,"160743242","Dan Hoock",,"CHILDREN'S DAY CAMP",60.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"DanH@ROCHESTERYMCA.ORG",,,,0,"YMCA","No",0,"ES",,,0,0,1,"{013D600A-8DBE-4C89-99FA-987A14A5D3F5}",1237,0
"27-6473","HINDU HERITAGE SUMMER CAMP","2171 COUNTY LINE RD.","MACEDON, NY  14502",14502.00,7.00,"CHILDREN'S CAMP","Yes","5853772100","PENFIELD","HINDU HERITAGE SUMMER CAMP, INC.","15 BRETTON WOODS DRIVE","ROCHESTER, N Y","14618",,,"161493084","DR. C. PADMANABH KAMATH","5857490512","CHILDREN'S OVERNIGHT CAMP",120.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Hindu Heritage",0,"CKAMATH1@ROCHESTER.RR.COM",,,,0,"NO Swimming in 2016 per 367","No",0,"WS",,,0,0,1,"{16EF4D3D-2BE4-47F8-BE67-880584C1B70B}",1336,0
"27-6485","VILLAGE SPORTS - SPORTS CAMP","2830 BAIRD ROAD","FAIRPORT, NY  14450",14450.00,16.00,"CHILDREN'S CAMP","Yes","5852991979","PERINTON","VILLAGE SPORTS DEVELOPMENT LLC","2830 BAIRD RD","FAIRPORT","14450",,,"161588592","KELLY COLLINS","5857342421","CHILDREN'S DAY CAMP",100.00,,$200.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Subway/Mark's/BYOL",0,"COLLINS23K@GMAIL.COM",,,,0,"No Swimming","No",0,"WS",,,0,0,1,"{2B789048-7BF6-4031-A1ED-6BD193ED8113}",1362,0
"27-6550","SWEDEN/CLARKSON REC PLAYGROUND","4927 LAKE ROAD","BROCKPORT, NY  14420",14420.00,14.00,"CHILDREN'S CAMP","Yes","5854310090","SWEDEN","TOWN OF SWEDEN","4927 LAKE ROAD","BROCKPORT, NY","14420",,,,"JOSEPH KINCAID","5854310088","CHILDREN'S MUNICIPAL DAY CAMP",60.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"JOEK@TOWNOFSWEDEN.ORG",,,,0,"No swimming","No",0,"WS",,,0,0,1,"{C359B370-DAE8-4C34-9526-F6908494B013}",1301,0
"27-6600","R.I.T. NTID - TECHGIRLZ & TECHBOYZ","52 LOMB MEMORIAL DRIVE","ROCHESTER, NY  14623",14623.00,7.00,"CHILDREN'S CAMP","Yes","5854757695","HENRIETTA","ROCHESTER INSTITUTE OF TECHNOLOGY - NTID","52 LOMB MEMORIAL DRIVE","ROCHESTER, N Y","14623",,,"160743140","MARK SOMMER/GINNY LINDSAY","5854757695","CHILDREN'S OVERNIGHT CAMP",60.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"RIT",0,"MASNCA@RIT.EDU, valnss@rit.edu",,,,0,"RIT","No",0,"LH",,,0,0,18,"{59148681-92E8-48A1-A8D4-E3C164A61C31}",1359,0
"27-6600b","R.I.T. NTID - EXPLORE YOUR FUTURE","52 LOMB MEMORIAL DRIVE","ROCHESTER, NY  14623",14623.00,7.00,"CHILDREN'S CAMP","Yes","5854757695","HENRIETTA","ROCHESTER INSTITUTE OF TECHNOLOGY - NTID","52 LOMB MEMORIAL DRIVE","ROCHESTER, N Y","14623",,,"160743140","MARK SOMMER/GINNY LINDSAY","5854757695","CHILDREN'S OVERNIGHT CAMP",150.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"RIT",0,"MASNCA@RIT.EDU, valnss@rit.edu",,,,0,"RIT","No",0,"LH",,,0,0,18,"{60829F23-165A-4CE2-9BD4-7E7E8528F7CC}",1346,0
