"FAC.","OPERATION ID","FACILITY_NAME","FACILITY_ADDRESS","FAC_CITY","FAC_ZIP","ACTIVE","OPERATOR_OWNER","PHONE","OPER_ADDRESS","OPER_CITY","OPER_ZIP","CONTACT","EMAIL_1","EMAIL_2","FAC_TYPE","FOOD SERVICE DESCRIPTION","FOOD SERVICE ESTAB","CATERED","BUILDING AGE","LEAD PROGRAM REF DATE","LEAD INSP DATE","LEAD INSPECTION RESULTS","LEAD CLEARANCE DATE","COMMENTS","ANNUAL INSP","ANNUAL S/U","INSPECTOR","1ST REINSP","1ST REINSP S/U","PARTIAL INSP","CAPACITY","PROFIT","FEE","FEE CODE","COMPLAINT_DATE","DATE_ABATED","SERVICE","DATE_TO_BUS","INVOICE DATE","INVOICE .","MCHDNUMBER","OP_KEY","CAT","SUBCAT","STATUS","PHONENO","PRIMARYOP","Customer acct no","2ND REINSP","2ND REINSP S/U","3RD REINSP","3RD REINSP S/U","FOOD PLAN RECEIPT DATE","FOOD PLAN APPROVAL DATE","FOOD PLAN CORRECTIVE ACTIONS","INSPECTOR CONTACT","2ND ANNUAL INSP","2ND ANNUAL S/U","PRE OP INSPECTION","PRE OP S/U","PART 14-1 PERMIT","s_GUID","ACTIVATION DATE","DEACTIVATION DATE","OPERATOR PHONE","TimeUpdated","Gen_COMMENTS","Gen_FOOD PLAN CORRECTIVE ACTIONS","Gen_FOOD SERVICE DESCRIPTION","s_ColLineage","s_Generation","s_Lineage"
"27DCC85","908838","CREATIVE BEGINNINGS - LAKESIDE","75 STUTSON ST","ROCHESTER, NY","14612","Yes","JEAN GARDNER","663-3670","75 STUTSON STREET","ROCHESTER, NEW YORK","14612","JEAN GARDNER","lcfc2@lakesidepresny.org",,"DAY CARE CENTER","B-formula, breast milk, cereal, fruit, veg.
L-sloppy joes, spaghetti w/ meatball, mac and cheese, bar-b-q chix fillets, turkey and cheese sand., mexican lasagna, raviolis, meatloaf, egg ham and cheese bagel sand, penne w/ ground beef, turkey hot dog, chix stir fry, PB and J, taco, french toast casserole, goulash, chix casserole, fruit, veg, milk, cheese slices.
S-taco chips, pretzel crisps, fruit muffins, oyster crackers, lyogurt, raisin bread, animal crackers, pizza muffins, corn bread, granola bars, rice cakes, mini bagel. Milk.
12/20/16 Food now catered by Sarkis. Jrg","MEDIUM","Yes","PRE-1978",,1994-03-28 0:00:00,"NO PB HAZARDS",,"12/23/2015 - Daycare changed name to ""Creative Beginnings"" in Sept, same owner per director.  Name changed in ehips and access.  LH

12/20/16 Food now catered by Sarkis. Jg",2018-01-19 0:00:00,"S","jg",2016-01-28 0:00:00,"U",,45.00,0,$65.50,"DCC7",,,,2013-04-02 0:00:00,,,85,0,,,,,,,,,,,,,,,2015-12-23 0:00:00,"U",,,,"{9E6BE098-8F32-420A-AA94-1B41F5B5E75B}",,,,,0,1524,1716,,0,
"27DCC86","909607","YMCA CHILDCARE AT LEWIS ST. CENTER","53 LEWIS ST.","ROCHESTER, NY","14605","Yes","YMCA OF GREATER ROCHESTER","325-2572, 738-9749 Cell","53 LEWIS STREET","ROCHESTER, NEW YORK","14605","Bridget Gilchrist","bridgetg@rochesterymca.org",,"DAY CARE CENTER","Since April of 2014, Day Care is now having all of the meals catered by Freshwise (Foodlink).  Sample menu is filed in the folder.  Food risk level has been reduced to medium risk. ES 9/29/2014","MEDIUM","No","PRE-1978",,1985-03-12 0:00:00,"NO PB HAZARDS",,"Lead readings of >1.0 noted in report.

2/5/13-  Operator requests a variance for the separate fruit/vegetable prep sink. An indirect drain must be installed on the third bay of the three bay sink. GR",2017-11-21 0:00:00,"S","EC",2015-11-24 0:00:00,"S",,142.00,0,$125.00,"DCC9",,,,2013-04-02 0:00:00,,,86,0,,,,,,,,,,,,,,,2013-10-30 0:00:00,"S",,,,"{B69C34F4-F7A5-45FF-AC86-4C2012F670E7}",,,,,0,1524,1524,,0,
"27DCC303","909161","RAINBOW KIDS ACADEMY","1292 E. RIDGE ROAD","ROCHESTER","14621","No","DIAMOND CHUCK","(585) 200-8853","141 RIDGEDALE CIRCLE","ROCHESTER, NY","14616","DIAMOND CHUCK","DIME0528@GMAIL.COM",,"DAY CARE CENTER","Food will be prepared on site.  Hamburg, grilled cheese, PBJ,turkey franks, salisbury steak, ham and cheese.  Day care will be serving mostly precooked food but may cook some raw meats/eggs.","HIGH","No",,,,,,"5 separate sinks are present with an indirect drain on the fruit and vegetable sink.

Opening about 4/1/2015. LH

8/28/2015 Stopped at the facility, facility is still closed, should be opening in the next few weeks.  Owner will call when they open. ES

9/30/2015 TC to 200-8853, day care should be opening in the next week or two. ES

12/2/2015 TC to 200-8853, Day care still not open. May open in the next week or two. ES",,,"ES",2015-03-16 0:00:00,"S",,46.00,0,$130.00,"DCC2",,,,,,,1423493352,,,,,,,,,,,,2015-02-06 0:00:00,2015-02-09 0:00:00,"1.  Install a 3-Bay Sink (Wash, Rinse and Sanitizing Basins)
2.  Install Separate Hanwashing sink.
3.  Install Food Prep sink with an Indirect Drain.
4.  Provide a Copy of a Health Department's Food Service Establishment Permit for ""Leteisha's Catering Service"".
5.  Provide Sample Menues.

Food will be prepared and not catered. ES","Earl Stich, 753-5574",,,2015-03-10 0:00:00,"U","NO","{2AE9954B-F5C7-43BB-AE0B-CE3BFD02CE50}",,,"(585) 200-8853",2015-02-09 9:49:12,1635,1524,1524,,1635,
"27DCC304",,"IT TAKES A VILLAGE","469 LYELL AVENUE","ROCHESTER, NY","14606","No","KENNETH WILLIAMS","(585) 406-8681","73 TARWOOD DRIVE","ROCHESTER, NY","14606","KENNETH WILLIAMS","rwregina@aol.com","kwsd3113@yahoo.com","DAY CARE CENTER","Sarkis Catering - Breakfast and Lunch.","MEDIUM","Yes","PRE-1978",,,,,"8/26/2015 Stopped at facility and the facility was closed.  I spoke with someone and they said that the Day Care has not opened yet.  TC to Kenneth Williams, he said that the Day Care has not opened yet and they hope to open by September.  Kenneth will call me when the Day Care Opens. ES

12/2/2015 TC to Kenneth Williams, he said that the Day Care at 469 Lyell Ave did not open and will not be opening in the future.  Facility will be deactivated. ES",,,"ES",2015-04-10 0:00:00,"S",,6.00,0,$90.00,"DCC1",,,,,,,1426522902,,,,,,,,,,,,2015-03-16 0:00:00,2015-03-16 0:00:00,"1.  Install 3rd basin sink next to existing double sink.
2.  Install Food Prep sink with an Indirect Drain.","EARL STICH, 753-5574",,,2015-03-19 0:00:00,"U","NO","{481CEE19-8C47-43C4-B282-D6046B5A0D7D}",,2015-12-02 0:00:00,"(585) 406-8681",2015-03-16 12:21:42,1635,1524,1524,,1716,
"27DCC280",,"3D SUMMER PROGRAM AT NORMAN HOWARD SCHOOL","275 PINNACLE ROAD","ROCHESTER, NY","14623","No","ENCOMPASS RESOURCES FOR LEARNING","(585) 266-7277","189 N. WATER STREET","ROCHESTER, NY","14604","HEATHER KRENZER",,,"DAY CARE CENTER","CATERED FOOD FROM FOODLINK - BREAKFAST AND LUNCH.  PRE-WASHED FRUITS AND VEGETABLES.","MEDIUM","Yes","PRE-1978",,,,,"3 Bay sink and additional handwash sink are present.  The 3 bay sink has an indirect drain.  Daycare uses only prewashed fruits and vegetables.  Any fruits and vegetable that are washed will be done in 3rd sink using a colander. ES


6/20/2012 - Several conversations with Ms. Krenzer regarding this FSE inspections at Daycares over past month. This is a six (6) week program running in the summer only for kids aged 6-13.  The operator is receiving grant funding from the United Way which requires them to be an OCFS registered Child Care Facility.  Operator was not pleased to have to renovate the kitchen at the school they will be using are using had an inadequate kitchen facility.  (The school used to have a FSE permit yet they switched to bringing lunches only. Also Encompass is a different operator than the Norman Howard School, Encompass is renting facility for the summer. ) After speaking to OCFS Ms. Krenzer understood the would not receive grant funding unless they were a registered School age Daycare facility. She agreed to install the 3rd bay w/ indirect drain as a compromise as they agreed to having fruits and vegetables pre-washed.  Separate hand washing sink also needed to be installed.  Kitchen plans submitted reflect these two sink installations.  LH",2013-06-25 0:00:00,,"ES",,,,80.00,0,$87.50,"DCC8",,,,2013-06-27 0:00:00,,,2310464,,,,,,,,,,,,2013-06-18 0:00:00,2013-06-20 0:00:00,"6/25/2013 3 Bay sink and additional handwash sink are present.  The 3 bay sink has an indirect drain.  Daycare uses only prewashed fruits and vegetables.  Any fruits and vegetable that are washed will be done in 3rd sink using a colander. ES","EARL STICH",,,2013-06-25 0:00:00,"S","NO","{52FEDE2F-E5D9-428E-B148-79073508B905}",,,,,1524,1524,1524,,1524,
"27DCC281","908519","DOODLE BUGS CHILD CARE CENTER","1700 ENGLISH ROAD","GREECE, NY","14612","Yes","DOODLE BUGS! CHILDREN'S CENTER","820-1940","1700 ENGLISH RD","ROCHESTER, NY","14612","ERICK GRAFF","bridgetagraff@outlook.com",,"DAY CARE CENTER","Cook and Serve - no cooling and reheating. 

Breakfast - Egg patty, French toat, pancakes, cereal, waffles, cereal bar.
Lunch - Ham & Cheese sandwich, macaroni & cheese, Chesee tortellini w/ sause, pizza, chiceh nuggets, grilled cheese, meatballs, penne pasta, ravioli, fish sticks, potato pancakes & ham, whole and fresh fruit mix, variety of vegetables. 
Snack: Whole fruit, yogurt parfait, cheese and crackers, multi graain cakes, pretzels.","MEDIUM","No","POST-1978",,,,,"7/15/2013 - Email/TC  from/to Shawn O'Donnell. New facility opening in mid August.  Discussed kitchen plan review and requirement for veg prep sink with indirect drain.  Plans submitted with plan for installation of the veg. sink. LH",2018-01-23 0:00:00,"S","jg",2016-04-28 0:00:00,"S",,175.00,1,$330.00,"DCC5",,,,2014-06-02 0:00:00,,,2310465,0,,,,,,0,,,,,2013-07-15 0:00:00,2013-07-16 0:00:00,"NONE",,2014-11-17 0:00:00,"S",2013-08-16 0:00:00,"S","NO","{D0422CDA-6AB7-4687-A908-ECB99A07AF4E}",,,,,0,1524,1618,,0,
"27DCC282","908809","KID POWER","123 BARBERRY TERRACE","ROCHESTER, NY","14621","No","CELESTINE HARVEY","880-0032","123 BARBERRY TERRACE","ROCHESTER, NEW YORK","14621","DOROTHY BUCHANAN","celestineharley@yahoo.com",,"DAY CARE CENTER",,"MEDIUM",,"PRE-1978",,,,,"6/17/2015 - TC from Beth Wanzer, OCFS.  Day care changed name on 2/5/2015 from Empowerment to Kid Power.  Same owner ( Clestine Harvey).  New director name Dorothy Buchanan.",2016-03-29 0:00:00,"U","JG",2015-05-06 0:00:00,"S",,33.00,0,$130.00,"DCC2",,,,,,,2310466,0,,,,,,,,,,,2013-07-17 0:00:00,2013-07-17 0:00:00,"Vegetable prep sink must be installed and enclosed invoice must be paid prior to the pre-operational inspection.","Earl Stich, 753-5574",2014-12-09 0:00:00,"U",2014-08-18 0:00:00,"S",,"{CD4968EE-6ECF-4832-B9E8-94A9C69F9644}",,2017-01-10 0:00:00,,,1716,1524,1524,,1716,
"27DCC283","909239","ST. JUDES PRE SCHOOL","4100 LYELL ROAD","ROCHESTER, NY","14606","Yes","DIOCESE OF ROCHESTER ST. JUDES THE APOSTLE CHURCH OF GATES NY","585 426-1872","4100 LYELL ROAD","ROCHESTER, NEW YORK","14606","KAREN SPATA","grant.dianna@yahoo.com",,"DAY CARE CENTER","ALL MEALS, SNACK FROM HOME","LOW","No",,,,,,"Facility has a ""church"" permit with all necessary equipment-3 bay, hand washing, veg. prep., refrig.,….",2017-01-23 0:00:00,"S","jg",,,,27.00,0,$65.00,"DCC7",,,,2014-04-16 0:00:00,,,2310467,,,,,,,,,,,,,,,,,,2013-08-23 0:00:00,"s",,"{F09F89A8-C815-40EB-B8B5-F2D6C638631B}",,,,,1716,1524,1524,,1716,
"27DCC284",,"RISING STARS AFTER SCHOOL PROGRAM","1 FAVOR STREET","ROCHESTER, NY","14608","No","ROCHESTER YOUTH FOR CHRIST","(585) 256-5050","1 FAVOR STREET","ROCHESTER, NY","14608","JILL CYPHER",,,"DAY CARE CENTER","Catered snack and dinner from Foodlink.  Menus provided for snack and dinner.","MEDIUM","Yes","PRE-1978",,,,,"9/10/2013 - Jill Cypher dropped of the FSE plan.  Reviewed plan with her.  She requested that a date of 9/23/2013 be noted in the plan review letter to be sent to have required sinks installed.  The size of the hot water tank to be reviewed during pre-op (she was unsure where it was and the capacity).  Mop sink faucet may need a hose bid.  LH",,,"PR",,,,45.00,0,$65.00,"DCC7",,,,,,,2310468,,,,,,,,,,,,2013-09-10 0:00:00,2013-09-10 0:00:00,"1. Install Hand washing sink in kitchen.  2. Install Vegetable prep sink with an indirect drain in kitchen.","753-5541",,,2013-10-24 0:00:00,"S","NO","{B83C02B5-A3E0-4665-96CD-93332DEE4FAA}",,,,,1524,1524,1524,,1524,
"27DCC285","908454","CRAYON CAMPUS","101 SULLYS TRAIL","PITTSFORD, NY","14534","Yes","INSPIRE CRAYON CAMPUS, LLC","381-4780 or 381-4838","101 SULLYS TRAIL - BLDG. 30","PITTSFORD, NEW YORK","14534","HEATHER WEST","heather@icrayoncampus.com",,"DAY CARE CENTER","L-chix nuggets, tuna noodle casserole, bar-b-q chix, cheesy ham and rice, french toast, fish patty on a bun, baked ziti, grilled cheese, soup, milk, fruit, veg, salad.
S-cinn. Bread w/ butter, yogurt, apple bar, raisins, triscuits, cheez its, pretzel, rice cake, goldfish cracker, milk, water.","MEDIUM","No","POST-1978",,1994-03-11 0:00:00,"NO PB HAZARDS",,"Complaint-sewage backing up into the DCC.  Kitchen did not have any violations.PR


9/25/2013 - TC from Beth Wanzer, OCFS.  Daycare will be operated by Ann Clark who is the new owner on 10/1/2013.  Advised of need to conduct a FSE for new owner.  Daycare name will remain the same as will capacity and food service. LH",2017-06-13 0:00:00,"U","EC",2015-12-01 0:00:00,"S",,164.00,1,$330.00,"DCC5",,,,2013-11-27 0:00:00,,,2310470,0,,,,,,,,,,,,,,,2015-10-22 0:00:00,"U",2013-09-30 0:00:00,"S","No","{FAEA1C97-3720-4CF2-BAAD-8C513BDAABA1}",,,,,0,1524,1524,,0,
"27DCC6","908114","ASBURY DAY CARE","1040 EAST AVENUE","ROCHESTER, NY","14607","Yes","ELLEN DONOVAN","461-2920","1040 EAST AVENUE","ROCHESTER, NEW YORK","14607","ELLEN DONOVAN","asburydc@frontiernet.net",,"DAY CARE CENTER","Breakfst-cold cereal, fruit, milk.
ABVI for lunch","MEDIUM","Yes","PRE-1978",,,,,,2018-02-01 0:00:00,"S","EC",2015-08-05 0:00:00,"U",,86.00,0,$87.50,"DCC8",,,,2014-02-21 0:00:00,,,6,0,,,,,,,2013-05-14 0:00:00,"S",,,,,,,,,,,,"{5AD5FDA9-08FA-47F3-BFFD-D22EE3CB83DC}",,,,,0,1524,1524,,0,
"27DCC9","908117","BANNER'S CHILD CARE CENTER","3510 WINTON PLACE","ROCHESTER, NY","14623","Yes","SHERRI PIERPONT","427-0700","3510 WINTON ROAD","ROCHESTER, NEW YORK","14623","SHERRI PIERPONT","bannerschildcare@gmail.com",,"DAY CARE CENTER","B-cereal, french toast, waffles, eggs and hash browns, quiche, bagels, pancakes,sausage and biscuits, yogurt.
L-chix parm, bbq pulled chix, baked ziti, homemade chix nuggets, meatloaf, chix rice and gravy, meatball subs, beef stew, chix pot pie, mac and cheese, pizza.","MEDIUM","No","POST-1978",,1988-12-05 0:00:00,"NO PB HAZARDS",,"Total of 11 readings conducted at various locations in the center.  Obtained a reading of 1.1 on some exterior paint.

Food Inspection: 3 bay sink in kitchen already equipped with an indirect drain-exemption given to use the last bayof the sink to wash fruits and vegs. In w. a collander.PR",2018-02-09 0:00:00,"U","jg",2017-04-03 0:00:00,"U",,243.00,1,$250.00,"DCC4",,,,2014-07-22 0:00:00,,,9,0,,,,,,,2015-02-24 0:00:00,"S",,,,,,,2015-10-21 0:00:00,"U",,,,"{967EA12C-4BCA-4F01-A28F-78FAECA1F04D}",,,,,0,1524,1524,,0,
